,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,25,1997,33.2,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,21,2001,32.4,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,31,1991,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32.0,4,0.12,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,24,1999,35.8,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24,1999,12.0,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23,2000,3.9,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16,2007,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",23,2000,3.3,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26,1997,16.4,59,3.59,37,1,9,5,3,4,8,0.49,4,1,1,1,1,0
ENG-Premier League,2324,Arsenal,Gabriel Magalhães,BRA,DF,25,1997,33.8,23,0.68,20,1,0,1,0,1,3,0.09,3,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22,2001,22.4,92,4.1,63,6,12,8,1,2,11,0.49,7,1,1,2,0,0
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,23,2000,10.5,13,1.24,10,2,0,0,1,0,4,0.38,3,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,31,1991,10.2,27,2.64,25,0,0,1,0,1,5,0.49,5,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22,2001,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24,1999,29.3,106,3.62,87,0,3,8,6,2,22,0.75,16,0,2,2,2,0
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",28,1994,18.3,65,3.55,46,3,7,5,4,0,6,0.33,1,1,2,0,2,0
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,24,1998,34.3,220,6.41,178,17,8,10,6,1,23,0.67,18,2,0,2,1,0
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31,1992,0.3,1,3.21,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,26,1996,19.1,67,3.5,64,1,1,1,0,0,6,0.31,5,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,9,3.02,7,1,0,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,17,1.33,16,0,0,1,0,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,25,2.86,24,0,0,0,1,0,4,0.46,4,0,0,0,0,0
